DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,2016,163.15,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,2017,158.60,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,2018,154.13,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,2019,146.11,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,2020,134.64,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,2021,131.37,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,1995,501.10,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,1996,494.00,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,1997,500.81,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,1998,486.74,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,1999,448.25,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2000,453.36,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2001,451.41,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2002,450.46,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2003,454.14,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2004,444.35,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2005,412.75,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2006,395.34,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CZ,2007,373.69,
